GEOID,NAME,variable,estimate,moe,year,year_lab,tract_name
36047023400,"Census Tract 234, Kings County, New York",hh_ro,1097,127,2009,2005-2009,Census Tract 234
36047047200,"Census Tract 472, Kings County, New York",total,3126,462,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_total,1783,314,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_5y,93,61,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_5_9,75,52,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_10_14,197,82,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_15_17,219,123,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_18_19,101,71,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_20,43,45,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_21,41,45,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_22_24,202,79,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_25_29,60,45,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_30_34,52,40,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_35_39,101,74,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_40_44,62,65,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_45_49,66,53,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_50_54,90,49,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_55_59,168,88,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_60_61,11,18,2009,2005-2009,Census Tract 472
36047047200,"Census Tract 472, Kings County, New York",male_62_64,15,25,2009,2005-2009,Census Tract 472
